work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,parent_work_id,keywords,languages,topics,cld3,cld2,cld3vscld2,human,cld3ev,cld2ev
54,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,ACAD - a Cambridge Alumni Database,NA,John Dawson,paper,NA,NA,NA,NA,es,en,different,en,0,1
8745,1979 - Kibbutz Shefayim,Kibbutz Shefayim,International Conference on Literary and Linguistic Computing,1979,ALLC,NA,NA,Kibbutz Shefayim,NA,Israel,NA,Nitpa'el as Participle in Rabbincal (Respona) Hebrew,NA,Menachem Zvi Kaddari,paper,NA,NA,NA,NA,es,en,different,en,0,1
2153,2014 - Lausanne,Lausanne,Digital Cultural Empowerment,2014,ADHO,ADHO,École Polytechnique Fédérale de Lausanne (EPFL);Université de Lausanne,Lausanne,NA,Switzerland,https://web.archive.org/web/20161227182033/https://dh2014.org/program/,Who is we? The social media project: Día de las humanidades digitales/Dia das humanidades digitais,NA,Ernesto Priani Saisó;Paul Spence;Isabel Galina Russell;Elena González Blanco-Garcia;Maria Clara Paixão de Sousa;Daniel Alves;José Francisco Barrón;Marco Antonio Godinez;Ana María Guzmán,"paper, specified ""short paper""",NA,dhcommunity;humanidades digitais;humanidades digitales;multilingual;network-building,NA,NA,es,en,different,en/es,,
3862,2017 - Montréal,Montréal,Access/Accès,2017,ADHO,ADHO,McGill University;Université de Montréal,Montréal,NA,Canada,https://dh2017.adho.org/,"Mnemosine, Biblioteca Digital de La otra Edad de Plata (1868-1936) - Mnemosyne, Digital Library for Rare and Forgotten Texts (1868-1936): Collections and Digital Editions",https://dh2017.adho.org/abstracts/156/156.pdf,Dolores Romero-López;Lucía Cotarelo-Estaban;José Luis Bueren-Gómez-Acebo,poster / demo / art installation,NA,digital library;metadata;mnemosine;uses of the past,Spanish,NA,es,en,different,en/es,,
6260,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Building International Bridges Through Digital Scholarship: The Trans-Atlantic Platform Digging Into Data Challenge Experience / Construyendo lazos internacionales a través de becas digitales: La plataforma Trans – Atlántica descubriendo experiencias en desafió de datos,NA,Elizabeth Tran;Crystal Sissons;Nicolas Parker;Mika Oehling,workshop / tutorial,NA,big data;data mining;interdisciplinarity;international collaboration;trans-atlantic,NA,NA,es,en,different,en/es,,
6402,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,"Monroe Work Today: Unearthing the Geography of US Lynching Violence 
                     (Monroe Work Hoy en Día: Desenterrar la geografía de la violencia linchamieno de EEUU)",NA,RJ Ramey,poster / demo / art installation,NA,gis;lynching;racial violence,NA,NA,es,en,different,en/es,,
6435,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,Towards a Digital History of the Spanish Invasion of Indigenous Peru / Hacia una historia digital de la invasión española del Perú indígena,NA,Jeremy M. Mikecz,poster / demo / art installation,NA,geohumanities;gis;indigenous;spatial history;visualization,NA,NA,es,en,different,en/es,,
6451,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,"Tramando la palabra 
                     Weaving the Word",NA,Janet Chávez Santiago,keynote / plenary,NA,indigenous languages;zapotec,NA,NA,es,en,different,en/es,,
6452,2018 - Mexico City,Mexico City,Puentes/Bridges,2018,ADHO,ADHO;EHD,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,NA,Mexico,https://dh2018.adho.org/,"Digital Experimentation, Courageous Citizenship and Caribbean Futurism 
                     Experimentación Digital, Ciudadanía Valiente y Futurismo Caribeño",NA,Schuyler Esprit,keynote / plenary,NA,afrofuturism;caribbean studies;eco-criticism,NA,NA,es,en,different,en/es,,
9338,2020 - Ottawa,Ottawa,carrefours / intersections,2020,ADHO,ADHO,Carleton University;Université d'Ottawa (University of Ottawa),Ottawa,Ontario,Canada,https://dh2020.adho.org/,Tiempo de destrucción: A stylometric examination of the posthumous publication of Luis Martín-Santos's unfinished work,NA,Megan Cytron,lightning talk,NA,authorship;literature;spanish;stylometry,NA,NA,es,en,different,en/es,,
