work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,parent_work_id,keywords,languages,topics,cld3,cld2,cld3vscld2
1,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Writing about It: Documentation and Humanities Computing,NA,Julia Flanders,paper,NA,NA,NA,NA,en,en,same
2,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Integration of Markup Languages and Object-Oriented Techniques in a Hypermedia Methodology,NA,Antonio Navarro;Alfredo Fernandez-Valmayor;Baltasar Fernandez-Manjon;Jose-Luis Sierra,paper,NA,NA,NA,NA,en,en,same
3,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Workbook Application for Digital Text Analysis,NA,Worthy N. Martin;Olga Gurevich;Thomas B. Horton;Robert Bingler,paper,NA,NA,NA,NA,en,en,same
4,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,The Middle English Grammar Project,NA,Jeremy Smith;Simon Horobin,paper,7169,NA,NA,NA,en,en,same
5,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Two Historical Linguistic Atlases,NA,Margaret Laing;Keith Williamson,paper,7169,NA,NA,NA,en,en,same
6,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,WebCAPE - Language Placement Testing over the Web,NA,Charles D. Bush,paper,NA,NA,NA,NA,en,en,same
7,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Technophobes, or the Nintendo Generation? A Study of the Use of ICT in Teaching and Learning in Modern Languages",NA,Claire Warwick,paper,NA,NA,NA,NA,en,en,same
8,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Computer-Aided Acquisition of Language Teaching Materials from Corpora,NA,Svetlana Sheremetyeva,paper,NA,NA,NA,NA,en,en,same
9,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Records to Go: Building the Humbul Humanities Hub,NA,Michael Fraser,poster / demo / art installation,NA,NA,NA,NA,en,en,same
10,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,LOOKSEE: Software Tools for Image-Based Humanities Computing,NA,Matthew G. Kirschenbaum,poster / demo / art installation,NA,NA,NA,NA,en,en,same
11,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Wake Newslitter - Electronic Edition,NA,Ian Gunn,poster / demo / art installation,NA,NA,NA,NA,NA,en,NA
12,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Modeling the Crystal Palace,NA,Chris Jessee;Michael Levenson;Will Rourk;Dave Cosca,poster / demo / art installation,NA,NA,NA,NA,en,en,same
13,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Solutions for the Delivery of Thematically-Tagged Text,NA,Terry Butler;Greg Coulombe;Sue Fisher,paper,NA,NA,NA,NA,en,en,same
14,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Meaning and Interpretation of Markup,NA,C.M. Sperberg-McQueen;Claus Huitfeldt;Allen Renear,paper,NA,NA,NA,NA,en,en,same
15,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Formal Model for Lexical Information,NA,Nancy Ide;Adam Kilgarriff;Laurent Romary,paper,NA,NA,NA,NA,en,en,same
16,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,"Teaching Cybertext Writing, Design, and Editing: Language, Image, Linking, Thinking",NA,Christopher Funkhouser,paper,NA,NA,NA,NA,NA,en,NA
17,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,A Toolbox for the Electronic Classroom,NA,Peter L. Havholm;Larry L. Stewart,paper,NA,NA,NA,NA,en,en,same
18,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,Ekphrasis and the Internet: Connecting the Verbal and the Visual with Computer-mediated Student Projects in an Undergraduate Humanities Class,NA,Donna Reiss;Art Young,paper,NA,NA,NA,NA,en,en,same
19,2000 - Glasgow,Glasgow,NA,2000,ACH;ALLC,ACH/ALLC;ACH/ICCH;ALLC/EADH,University of Glasgow,Glasgow,Scotland,United Kingdom,https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/,SMART Project: Methods for Computer-based Research of Premodern Chinese Texts,NA,Christian Wittern,paper,NA,NA,NA,NA,en,en,same
